,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3109,Yeh Kaisi Mohabbat,['0316911'],31 May 2002,"Musical, Drama, Romance","Krishna Abhishek, Viveka Babajee, Sheeba Bhakri, Deeksha","Yeh Kaisi Mohabbat (YKM) is a romantic thriller. It deals with a whole lot of fun, romance and suspense. It is story of an innocent boy Vicky. The plot involves an innocent poor boy, who is...",3.9,27,2002
3110,Kaala Samrajya,['0339239'],N/A,"Action, Crime, Romance","Sunil Shetty, Monica Bedi, Amrish Puri","Gangster Kaalkeshwar Singh is insecure about the way other people behave towards his wife, Monica as he is fully well aware that she does not love him and that he forcefully get married to her. This insecurity forced him to murder a ",4.3,36,1999
3111,Paheli,['0451850'],24 Jun 2005,"Comedy, Drama, Fantasy","Shah Rukh Khan, Rani Mukerji, Anupam Kher",A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.,6.5,"12,810",2005
3112,Ustadon Ke Ustad,['0158314'],01 Jan 1963,"Action, Crime, Drama, Mystery, Romance, Thriller","Ashok Kumar, Pradeep Kumar, Shakila, Sheikh Mukhtar",An impoverished Engineer in love with a wealthy woman goes on the run after becoming a suspect in a bank robbery.,7.2,29,1963
3113,Basant Bahar,['0048987'],N/A,"Drama, Musical, Romance","Bharat Bhushan, Nimmi, Kumkum, Manmohan Krishna","A very classic film, a milestone in the annals of film industry. I like it most.",7.2,33,1956
3114,Bhavna,['0149857'],10 Oct 1984,Drama,"Shabana Azmi, Marc Zuber, Saeed Jaffrey, Rohini Hattangadi","Bhavna is a story of a less privileged women. A lady who was living all alone in the city met a man named Ajay Kapoor in a garden, sketching. They became friends and later on friendship ...",6.9,33,1984
3115,Jal Bin Machhli Nritya Bin Bijli,['0352457'],N/A,"Musical, Romance","Sandhya, Vatsala Deshmukh, Iftekhar, Raja Paranjpe","Alaknanda lives a wealthy lifestyle with her widowed dad, Dr. Verma. She is fond of dancing and singing to such an extent that she refuses to marry the groom her dad has chosen for, runs ...",6.9,31,1971
3116,Lorie,['0316190'],06 Jun 1984,Drama,"Shabana Azmi, Farooq Shaikh, Swaroop Sampat","A woman, depressed that she in unable to bear children, abducts a child, and wants to keep him for her own. The child belongs to a large family consisting of 11 other children.",7.0,34,1984
3117,Dulhan,['0314005'],N/A,Drama,"David Abraham, Agha, Nasir Hussain, Jamuna","Radha is a kind, compassionate, and a simple minded village belle whose life has been shattered due to the sudden death of her groom on her wedding night. She is in denial and awaits his ...",6.7,31,1974
3118,Dulhan Banoo Main Teri,['0940881'],N/A,"Action, Drama, Romance","Arun Bakshi, Beena Banerjee, Sheeba Bhakri","Radha lives a poor lifestyle in Brindavan, India. When London-based Deepak Rai comes for a visit, they meet, fall in love and get married. Deepak returns home and informs his parents, who are displeased as they have arranged his marr",6.5,35,1999
3119,Himmat,['0319500'],05 Jan 1996,"Action, Drama, Thriller","Sunny Deol, Tabu, Shilpa Shetty Kundra, Naseeruddin Shah","Two Indian Secret Service Agents, Ajay Saxena and Abdul, are not only co-workers, but also live like brothers and family. Their Chief asks Abdul to take charge of Project M, dealing with ...",4.5,197,1996
