,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
0,3 Idiots,['1187043'],25 Dec 2009,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"360,710",2009
1,Taare Zameen Par,['0986264'],21 Dec 2007,"Drama, Family","Darsheel Safary, Aamir Khan, Tisca Chopra","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.4,"178,164",2007
2,PK,['2338151'],19 Dec 2014,"Comedy, Drama, Musical","Aamir Khan, Anushka Sharma, Sanjay Dutt",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"170,150",2014
3,Dangal,['5074352'],21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.4,"166,872",2016
4,Rang De Basanti,['0405508'],26 Jan 2006,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.1,"115,406",2006
5,Lagaan: Once Upon a Time in India,['0169102'],15 Jun 2001,"Drama, Musical, Sport","Aamir Khan, Raghuvir Yadav, Gracy Singh",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"107,694",2001
6,My Name Is Khan,['1188996'],12 Feb 2010,Drama,"Shah Rukh Khan, Kajol, Sheetal Menon",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8.0,"101,395",2010
7,"Swades: We, the People",['0367110'],17 Dec 2004,Drama,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,"86,240",2004
8,Gangs of Wasseypur,['1954470'],22 Jun 2012,"Action, Crime, Drama","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui",,8.2,"88,161",2012
9,Barfi!,['2082197'],14 Sep 2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"78,102",2012
10,Chak De! India,['0871510'],10 Aug 2007,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",8.2,"76,137",2007
11,Munna Bhai M.B.B.S.,['0374887'],19 Dec 2003,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh",A gangster sets out to fulfill his father's dream of becoming a doctor.,8.1,"76,238",2003
12,Bajrangi Bhaijaan,['3863552'],17 Jul 2015,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8.0,"79,740",2015
13,Dil Chahta Hai,['0292490'],10 Aug 2001,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",8.1,"68,946",2001
14,Zindagi Na Milegi Dobara,['1562872'],15 Jul 2011,"Comedy, Drama","Hrithik Roshan, Farhan Akhtar, Abhay Deol",Heres celebrating a film that taught us how to truly live! Heres to 8 Years of Zindagi Na Milegi Dobara!,8.2,"71,716",2011
15,Dilwale Dulhania Le Jayenge,['0112870'],20 Oct 1995,"Drama, Romance","Shah Rukh Khan, Kajol, Amrish Puri","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",8.1,"65,805",1995
16,Kal Ho Naa Ho,['0347304'],28 Nov 2003,"Comedy, Drama, Musical","Preity Zinta, Shah Rukh Khan, Saif Ali Khan","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for h",7.9,"65,670",2003
17,Drishyam,['4430212'],31 Jul 2015,"Crime, Drama, Mystery","Ajay Devgn, Shriya Saran, Tabu","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,"74,959",2015
18,Gunday,['2574698'],14 Feb 2014,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",2.4,"58,214",2014
19,Queen,['3322420'],07 Mar 2014,"Adventure, Comedy, Drama","Kangana Ranaut, Rajkummar Rao, Lisa Haydon",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8.2,"62,118",2013
20,Children of Heaven,['7584396'],20 Jan 2017,"Short, Drama, Family","Kavitha Chari, Kishore Kumar Inapanuri",N/A,N/A,N/A,2017
21,Bhaag Milkha Bhaag,['2356180'],12 Jul 2013,"Biography, Drama, Sport","Farhan Akhtar, Sonam Kapoor, Pawan Malhotra",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,8.2,"63,856",2013
22,Kahaani,['1821480'],09 Mar 2012,"Mystery, Thriller","Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",8.1,"59,835",2012
23,Ghajini,['1166100'],24 Dec 2008,"Action, Drama, Mystery","Aamir Khan, Asin Thottumkal, Jiah Khan",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,7.3,"58,168",2008
24,Andhadhun,['8108198'],05 Oct 2018,"Crime, Drama, Music","Ayushmann Khurrana, Tabu, Radhika Apte","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",8.2,"80,201",2018
25,Hera Pheri,['0242519'],31 Mar 2000,"Action, Comedy, Crime","Akshay Kumar, Sunil Shetty, Paresh Rawal","Baburao is a landlord in India, who is very near-sighted, and always in financial trouble. He has a tenant named Raja, who has not paid his rent for several months. He also has anther tenant named Shyam, who has come to the city to look for a job in his late father's place, but is unable to find employment. The three men quarrel amongst themselves frequently.",8.2,"60,902",2000
26,Airlift,['4387040'],22 Jan 2016,"Drama, History","Akshay Kumar, Nimrat Kaur, Kumud Mishra","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",8.0,"54,203",2016
27,Baby,['3848892'],23 Jan 2015,"Action, Thriller","Akshay Kumar, Danny Denzongpa, Rana Daggubati","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",8.0,"54,862",2015
28,Jab Tak Hai Jaan,['2176013'],13 Nov 2012,"Drama, Romance","Shah Rukh Khan, Katrina Kaif, Anushka Sharma","An ex-army man, leading a double life in London, must choose between his wife and muse. ",6.7,"52,692",2012
29,Sholay,['0073707'],15 Aug 1975,"Action, Adventure, Comedy","Sanjeev Kumar, Dharmendra, Amitabh Bachchan","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",8.2,"53,140",1975
30,Don 2,['1285241'],23 Dec 2011,"Action, Crime, Thriller","Shah Rukh Khan, Florian Lukas, Om Puri","Having conquered the Asian underworld, Don now has his sights set on European domination. In his way are the bosses of the existing European underworld and all law enforcement agencies. The action shifts from Kuala Lumpur to Berlin as Don must avoid assassination or arrest, whichever comes first, in order for his plan to succeed.",7.1,"50,876",2011
31,Haider,['3390572'],02 Oct 2014,"Action, Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",8.1,"51,850",2014
32,Seventeen Special 26: Young Lust,['0461357'],N/A,Adult,N/A,N/A,N/A,N/A,1996
33,Andaz Apna Apna,['0109117'],04 Nov 1994,"Action, Comedy, Romance","Aamir Khan, Salman Khan, Raveena Tandon",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,8.1,"51,028",1994
34,Veer-Zaara,['0420332'],12 Nov 2004,"Drama, Family, Musical","Shah Rukh Khan, Preity Zinta, Rani Mukerji",,7.8,"50,653",2004
35,Chennai Express,['2112124'],08 Aug 2013,"Action, Adventure, Comedy","Deepika Padukone, Shah Rukh Khan, Sathyaraj",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,6.1,"50,659",2013
36,Kuch Kuch Hota Hai,['0172684'],16 Oct 1998,"Comedy, Drama, Musical","Shah Rukh Khan, Kajol, Rani Mukerji","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",7.6,"49,942",1998
37,The Lunchbox,['2350496'],20 Sep 2013,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an old man in the dusk of his life as they build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.
",7.8,"52,825",2013
38,Jab We Met,['1093370'],26 Oct 2007,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Tarun Arora",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,7.9,"49,835",2007
39,Sanju,['6452574'],29 Jun 2018,"Biography, Comedy, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala","Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, and then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might or might not be a terrorist.
Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",7.7,"50,079",2018
40,Kabhi Khushi Kabhie Gham...,['0248126'],14 Dec 2001,"Drama, Musical, Romance","Shah Rukh Khan, Kajol, Amitabh Bachchan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",7.4,"46,522",2001
41,Dhoom:3,['1833673'],20 Dec 2013,"Action, Crime, Thriller","Aamir Khan, Katrina Kaif, Abhishek Bachchan","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",5.4,"44,066",2013
42,Rab Ne Bana Di Jodi,['1182937'],12 Dec 2008,"Comedy, Drama, Music","Shah Rukh Khan, Anushka Sharma, Vinay Pathak","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",7.2,"45,358",2008
43,Fan,['3495026'],15 Apr 2016,"Action, Drama, Thriller","Shah Rukh Khan, Carolina Main, Sayani Gupta","Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",7.0,"43,508",2016
44,Udaan,['1639426'],16 Jul 2010,Drama,"Rajat Barmecha, Ronit Roy, Manjot Singh","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.2,"43,645",2010
45,Lage Raho Munna Bhai,['0456144'],01 Sep 2006,"Comedy, Drama, Romance","Sanjay Dutt, Arshad Warsi, Vidya Balan",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,8.0,"44,723",2006
46,Vishwaroopam,['2199711'],25 Jan 2013,"Action, Thriller","Pooja Kumar, Miles Anderson, Kamal Haasan","When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",8.1,"39,282",2013
47,Raees,['3405236'],25 Jan 2017,"Action, Crime, Drama","Raj Arjun, Shubham Chintamani, Shubham Tukaram",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,6.8,"41,680",2017
48,Vicky Donor,['2317337'],20 Apr 2012,"Comedy, Romance","Ayushmann Khurrana, Yami Gautam, Annu Kapoor","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",7.8,"40,788",2012
49,Ra.One,['1562871'],26 Oct 2011,"Action, Adventure, Sci-Fi","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",4.7,"39,270",2011
50,Om Shanti Om,['1024943'],09 Nov 2007,"Action, Comedy, Drama","Shah Rukh Khan, Deepika Padukone, Arjun Rampal","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",6.7,"40,426",2007
51,Rockstar,['1839596'],11 Nov 2011,"Drama, Music, Romance","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",7.7,"41,506",2011
52,Devdas,['0238936'],12 Jul 2002,"Drama, Musical, Romance","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",7.6,"40,082",2002
53,Uri: The Surgical Strike,['8291224'],11 Jan 2019,"Action, Drama, War","Vicky Kaushal, Paresh Rawal, Mohit Raina",Official Teaser,8.2,"47,524",2018
54,Yeh Jawaani Hai Deewani,['2178470'],31 May 2013,"Drama, Musical, Romance","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor","Yeh Jawaani Hai Deewani is the story of the relationship between two characters, Bunny &amp; Naina, at two separate but defining times in their lives... first, when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on, in their late-twenties when they meet again, holding on to certain fulfilled and certain unfulfilled dreams, at a crossroads of another nature this time... how these two characters affect, change, befriend and eventually fall in love with each other is the journey the film aspires to take us on...",7.2,"40,633",2013
55,Sultan,['4832640'],06 Jul 2016,"Action, Drama, Sport","Salman Khan, Anushka Sharma, Marko Zaror",,7.0,"42,717",2016
56,Pink,['5571734'],16 Sep 2016,"Crime, Drama, Thriller","Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",8.1,"41,435",2016
57,Dear Zindagi,['5946128'],23 Nov 2016,"Drama, Romance","Alia Bhatt, Shah Rukh Khan, Kunal Kapoor",,7.5,"37,594",2016
58,Don,['0461936'],20 Oct 2006,"Action, Crime, Thriller","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",7.2,"35,500",2006
59,Happy New Year,['2461132'],24 Oct 2014,"Action, Comedy, Crime","Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,5.0,"35,115",2014
60,Black,['0375611'],04 Feb 2005,Drama,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel","The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",8.2,"34,097",2005
61,English Vinglish,['2181931'],05 Oct 2012,"Comedy, Drama, Family","Sridevi, Adil Hussain, Mehdi Nebbou","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",7.8,"34,437",2012
62,Race 3,['7431594'],15 Jun 2018,"Action, Crime, Thriller","Anil Kapoor, Salman Khan, Bobby Deol",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,1.9,"43,561",2018
63,Paan Singh Tomar,['1620933'],02 Mar 2012,"Action, Biography, Crime","Irrfan Khan, Mahie Gill, Rajesh Abhay","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",8.2,"34,339",2012
64,Main Hoon Na,['0347473'],30 Apr 2004,"Action, Comedy, Drama","Shah Rukh Khan, Sushmita Sen, Sunil Shetty","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",7.0,"33,572",2004
65,Dilwale,['4535650'],18 Dec 2015,"Action, Comedy, Drama","Shah Rukh Khan, Kajol, Varun Dhawan",Depicting a brotherhood between two step-brothers in which the elder brother has a secret identity.,5.1,"32,791",2015
66,M.S. Dhoni: The Untold Story,['4169250'],30 Sep 2016,"Biography, Drama, Sport","Sushant Singh Rajput, Kiara Advani, Anupam Kher","The cricketer. The legend. The man. The world knows M.S. Dhoni, now it's time we know his journey.",7.9,"45,085",2016
67,Fanaa,['0439662'],26 May 2006,"Action, Drama, Romance","Aamir Khan, Kajol, Rishi Kapoor",A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,7.2,"31,785",2006
68,Bajirao Mastani,['3735246'],18 Dec 2015,"Action, Drama, History","Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",7.2,"32,341",2015
69,Jodhaa Akbar,['0449994'],15 Feb 2008,"Action, Drama, History","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.",7.6,"30,977",2008
70,Raanjhanaa,['2359810'],21 Jun 2013,"Drama, Romance","Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub",,7.6,"30,750",2013
71,Ek Tha Tiger,['2016894'],15 Aug 2012,"Action, Romance, Thriller","Salman Khan, Katrina Kaif, Girish Karnad",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,5.5,"32,062",2012
72,Talvar,['4934950'],02 Oct 2015,"Crime, Drama, Mystery","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.2,"32,693",2015
73,Dabangg,['1620719'],10 Sep 2010,"Action, Comedy, Crime","Salman Khan, Sonakshi Sinha, Sonu Sood",,6.2,"30,815",2010
74,Piku,['3767372'],08 May 2015,"Comedy, Drama","Deepika Padukone, Amitabh Bachchan, Irrfan Khan","A quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy.",7.6,"30,276",2015
75,Wake Up Sid,['1324059'],02 Oct 2009,"Comedy, Drama, Romance","Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak",,7.6,"29,591",2009
76,Mohabbatein,['0213890'],27 Oct 2000,"Musical, Drama, Romance","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",7.1,"28,139",2000
77,Delhi Belly,['1934231'],01 Jul 2011,"Action, Comedy, Crime","Imran Khan, Vir Das, Kunaal Roy Kapur",Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,7.6,"28,704",2011
78,Dil Se..,['0164538'],21 Aug 1998,"Drama, Romance","Shah Rukh Khan, Manisha Koirala, Preity Zinta",The clash between love and ideology is portrayed in this love story between a radio executive and a beautiful revolutionary.,7.6,"27,667",1998
79,Kai po che!,['2213054'],22 Feb 2013,"Drama, Sport","Amit Sadh, Sushant Singh Rajput, Rajkummar Rao",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,7.8,"34,299",2013
80,Aashiqui 2,['2203308'],26 Apr 2013,"Drama, Music, Musical","Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa", Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star. ,7.0,"27,782",2013
81,Padmaavat,['5935704'],25 Jan 2018,"Drama, History, Romance","Deepika Padukone, Ranveer Singh, Shahid Kapoor","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar",7.0,"28,910",2018
82,Tanu Weds Manu Returns,['2140465'],22 May 2015,"Comedy, Drama, Romance","Kangana Ranaut, Madhavan, Jimmy Sheirgill",Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,7.6,"27,002",2015
83,Baazigar,['0106333'],12 Nov 1993,"Crime, Drama, Musical","Shah Rukh Khan, Kajol, Dalip Tahil","A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive.",7.7,"26,875",1993
84,Highway,['2980794'],21 Feb 2014,"Crime, Drama, Romance","Alia Bhatt, Randeep Hooda, Durgesh Kumar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",7.6,"27,543",2014
85,Udta Punjab,['4434004'],17 Jun 2016,"Action, Crime, Drama","Shahid Kapoor, Alia Bhatt, Kareena Kapoor",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,7.8,"28,233",2016
86,Anand,['0066763'],12 Mar 1971,"Drama, Musical","Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",8.3,"32,361",1971
87,Sarfarosh,['0200087'],30 Apr 1999,"Action, Drama","Aamir Khan, Naseeruddin Shah, Sonali Bendre","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",8.1,"24,594",1999
88,Kaabil,['5460276'],27 Jan 2017,"Action, Crime, Drama","Hrithik Roshan, Yami Gautam, Ronit Roy",A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.,7.1,"25,332",2017
89,Stree,['8108202'],31 Aug 2018,"Comedy, Horror","Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",7.6,"30,907",2018
90,Gully Boy,['2395469'],14 Feb 2019,"Drama, Music, Romance","Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh",A coming-of-age story based on the lives of street rappers in Mumbai.,8.0,"34,749",2019
91,Kick,['2372222'],25 Jul 2014,"Action, Comedy, Crime","Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui","An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.",5.3,"27,562",2014
92,2 States,['2372678'],18 Apr 2014,"Comedy, Drama, Romance","Arjun Kapoor, Alia Bhatt, Amrita Singh","A story about a romantic journey of a culturally opposite couple - Krish Malhotra and Ananya Swaminathan. They meet at the IIM-Ahmedabad College and during the program they fall in love. Complications arise after the program comes to an end and they decide to get married. Krish and Ananya belong to two different states of India. Krish, a North Indian Punjabi boy from Delhi, and Ananya, a Tamilian Brahmin from Chennai. They take a conscious decision; they won't get married until their parents agree. Everything goes downhill when the parents meet. There is a cultural clash and the parents oppose the wedding. To convert their love story into a love marriage, the couple faces a tough battle in front of them. For it is easy to fight and rebel, but much harder to convince. Will Krish and Ananya's love for each other sustain the battles? Will they manage to convince their parents and make it to their wedding?",6.9,"24,370",2014
93,Dhoom:2,['0441048'],24 Nov 2006,"Action, Crime, Thriller","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan",,6.6,"25,018",2006
94,Badhaai ho,['7725596'],19 Oct 2018,"Comedy, Drama","Ayushmann Khurrana, Neena Gupta, Gajraj Rao",A man is embarrassed when he finds out his mother is pregnant.,8.0,"29,974",2018
95,Zero,['6527426'],21 Dec 2018,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Katrina Kaif","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to bro",5.4,"25,115",2018
96,Gabbar Is Back,['2424988'],01 May 2015,"Action, Comedy, Crime","Akshay Kumar, Shruti Haasan, Kareena Kapoor",A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,7.1,"23,364",2015
97,Madras Cafe,['2855648'],23 Aug 2013,"Action, Drama, Thriller","John Abraham, Nargis Fakhri, Raashi Khanna",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,7.7,"23,558",2013
98,Darr,['0109555'],24 Dec 1993,"Action, Drama, Romance","Juhi Chawla, Sunny Deol, Shah Rukh Khan",A woman plans to marry a navy officer but she is also the object of another man's obsession.,7.8,"22,911",1993
99,Agneepath,['1849718'],26 Jan 2012,"Action, Crime, Drama","Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,6.9,"23,039",2012
100,Rustom,['5165344'],12 Aug 2016,"Crime, Drama, Thriller","Manoj Bajpayee, Akshay Kumar, Pawan Malhotra","A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",7.1,"24,419",2016
101,Bodyguard,['7493974'],24 Oct 2018,"Crime, Drama, Thriller","Richard Madden, Sophie Rundle, Vincent Franklin",A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,8.1,"103,442",2018
102,Kapoor & Sons,['4900716'],18 Mar 2016,"Comedy, Drama, Family","Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah","A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse,the family is undergoing a financial crunch and much more as the drama unfolds.",7.7,"24,360",2016
103,Khosla Ka Ghosla!,['0466460'],22 Sep 2006,"Comedy, Crime, Drama","Anupam Kher, Boman Irani, Parvin Dabas",A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,8.3,"23,043",2006
104,Kabir Singh,['8983202'],20 Jun 2019,"Action, Drama, Romance","Shahid Kapoor, Kiara Advani, Nikita Dutta","An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",7.1,"28,255",2019
105,Bang Bang!,['3701644'],23 Nov 2014,"Animation, Short, Drama","Andréa Brusque, Féodor Atkine, Eric Herson-Macarel","Bang! Bang! It's hunting season. As well as Eda's 25th birthday. As a present, her father offers her an apartment under seizure.",7.7,38,2014
106,Guru,['0499375'],12 Jan 2007,Drama,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan","A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",7.7,"22,789",2007
107,Raazi,['7098658'],11 May 2018,"Action, Drama, Thriller","Alia Bhatt, Vicky Kaushal, Rajit Kapoor",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,7.8,"27,193",2018
